N,Well,Stage,1-Pentene,2-Methyl-1-butene,Pentane,"Pentane, 2-methyl-","Pentane, 3-methyl-",1-Hexene,n-Hexane,"Cyclopentane, methyl-","Pentane, 2,4-dimethyl-",Benzene,Cyclohexane,"Hexane, 2-methyl-","Hexane, 3-methyl-","Cyclopentane, 1,3-dimethyl-, cis-","Cyclopentane, 1,3-dimethyl-, trans-","Cyclopentane, 1,2-dimethyl-, trans-",1-Heptene,Heptane,"Cyclohexane, methyl-","Hexane, 2,5-dimethyl-",Toluene,"Heptane, 3-methyl-","Cyclohexane, 1,4-dimethyl-, trans-",1-Octene,"Cyclohexane, 1,2-dimethyl-, trans-",Octane,Ethylbenzene,"Benzene, 1,3-dimethyl-",p-Xylene,o-Xylene,1-Nonene,Nonane,"Benzene, propyl-","Benzene, 1-ethyl-3-methyl-","Benzene, 1-ethyl-4-methyl-",Mesitylene,"Benzene, 1-ethyl-2-methyl-","Benzene, 1,2,4-trimethyl-",1-Decene,Decane,"Benzene, n-butyl-",Undecane,"Benzene, 1,2,4,5-tetramethyl-",Dodecane,Tridecane,Tetradecane,Pentadecane,Hexadecane,Heptadecane,"Pentadecane, 2,6,10,14-tetramethyl-",Octadecane,"Hexadecane, 2,6,10,14-tetramethyl-"
231,field,2.0,1.5083563498920136,0.32926017991817086,2.3366293287878666,-0.21547972029649443,-0.4093197290467198,-0.13116153810619446,0.5063740193321011,-0.9224298630761147,-1.499541826912369,2.961175326282721,-0.15630215108691967,-1.4521202477154955,-0.2902463982951238,-1.6876660876592129,-1.3559050085680073,0.2754901774184699,0.2704151053054065,-0.7066792774144959,1.1855131887359358,-2.236998363852985,0.865677233192726,-2.421855884578718,-2.9770815334315253,0.06532468607715122,-1.2244451467299464,-0.051192443741977456,-0.7505425684265304,-0.16314006509651519,-1.3803556565857866,1.401684642978953,-0.5449948958848755,-0.14997103830171432,-0.9099001965487854,-0.4054305140744732,-1.5726460852409847,-0.24810760354572647,-1.1781775479881322,0.3129072632734312,-1.2942485540934747,0.8292351045226768,-1.18516952053755,2.3688746318750318,-0.9889877804901409,1.7374457478988778,1.7516702520852132,2.1184976573684096,1.837284585574021,3.4070928233093203,0.7899871250221504,0.7036181039236058,0.7592577899190469,0.18832592463368886
235,field,1.0,1.2169052793870923,0.05464750468493614,2.5724940260620577,-0.44045486438052034,-0.8328272021935846,-0.5759204735568568,1.3694209470177932,-1.3993492880860083,-1.9719131326847226,2.9157643396553254,-1.7091882758115213,-1.091322460071445,-0.7693210533916395,-2.9016902456354376,-2.703429413235923,-1.3722158405716085,0.5134957352439082,-0.45987465403427713,-0.7878013632548297,-2.1575892716248304,1.08034253881062,-1.6423540296927244,-2.725383573910971,-0.3569979505289466,-2.674076050825559,0.3776168993517745,-0.4797091769396747,0.40857522814545993,-0.39603962295637907,2.2586089051557563,-0.2525971278430502,1.5995742006483524,-0.2428274362632527,0.3386108925628057,-0.5680249567471746,-0.1790825694996682,-0.19074764860886287,1.1986894740796932,-1.5885251723342668,2.2774218676630804,-0.26113079581041804,2.843486496964329,-0.7804495902304968,1.794686792316621,1.6636757576250991,1.8988300820014827,1.4908125507122054,2.3235215706008763,-0.11695562509354833,0.5561543684700826,0.7660144589903407,0.10844894966851218
237,,,1.4139937973407781,0.44732842421059726,2.758133370690959,-0.4128143784495702,-0.8338972147954874,-0.4863350628011427,0.9134246128646076,-1.1898300676165499,-1.7475930334969663,3.2043881139612362,-1.319200295549487,-1.7148940825900723,-0.7312403054021122,-2.5775768618167554,-2.3737399367965546,-0.6278442013715927,0.3989146420733668,-0.7788434895318768,-0.40863390955078416,-2.13803077512198,1.1013452362255376,-2.2188368680992534,-3.033213902249912,-0.2571607347492135,-2.414605838146524,-0.4160821125121751,-0.6972639952472552,-0.045819912677149494,-1.0122501544928697,1.3626241982726834,-0.6148288332595222,0.04548012645206212,1.1972313421137744,-0.39583179790716116,-1.3958457032875136,0.07500069024775795,-1.1330928214927052,0.4562449944475423,-1.3492896597309776,1.0948813540589872,-1.2185401734989811,2.734122783492755,-0.9386679561190079,2.0644508815377325,2.1192381148152912,2.6007839604596303,2.1715790044800647,3.812396592157574,1.1922244602058587,1.2909626107688834,1.2011435915413657,0.8259111759421034
239,,,1.6818185129005931,0.029804548006782252,2.5523404097109994,-0.546089411784548,-0.8617510734810669,-0.26422081904163314,0.7435166676698719,-1.2833827221002092,-1.9602831825468245,2.9139000992176936,-0.763976488864294,-1.3826366172878921,-0.560045591668714,-2.489925749981691,-2.218303318547255,-0.9256937465663059,0.39809438881530934,-0.44749127860012733,-0.21828849538882286,-2.0408973102145564,1.1790989921463486,-1.8729311139499434,-2.5836440602280386,0.047482784088544644,-1.8562103265952967,-0.1308576254880004,-0.37455159834548357,0.24988591487649692,-0.7011322762800715,1.410089171616188,-0.8116311409093548,-0.04102874341783759,-0.7704324775855561,0.013213053022349467,-0.9720997988402956,-0.3134069854687098,-0.6364209236175999,0.99895226542309,-1.4144549898752752,1.1312566051643183,-0.9703553392920571,2.5160472764936235,-0.6571809008886825,1.8672464560078506,1.7285331306681748,2.164783230557549,2.098138170257964,3.089428650997048,0.9852944967268407,0.8735313036976179,0.7700700642175873,0.6267979145733052
282,,,1.5040186580843422,-0.00012363210452458586,2.940630408894664,0.1727523410817465,0.1383795436955059,-0.5612625040449745,1.2701986032151242,-0.6005698385331446,-1.803996791317143,3.221286493310983,-0.36334086006401745,-1.1480260301831986,-0.3914803586041179,-1.9706168885591329,-1.7810692866734386,-0.5144973405909826,0.5457400165447894,-0.5908303618021449,0.2848816648238983,-2.0271403426313532,1.1297802518152344,-1.8024972340870589,-2.067685260943222,-0.6275900965644887,-1.3860586364691332,-0.21059398736996277,-0.3478277284463812,0.202870390165003,-0.6386315184652992,1.5138931230313277,-1.0455013902295411,-0.18338012127388623,-1.1267322369005848,-0.3188329219783906,-1.2568142425957871,-0.5965647655429007,-1.0190803571560871,0.4640420486473708,-1.8435122272966575,0.6904030814577513,-1.6123960008038598,2.173172497317784,-1.1075807437766778,1.685312240999023,1.7435681857130092,2.1924125023653556,1.7569717737097588,2.7487866614533605,0.2562994785844896,0.960355512473958,1.00180799304282,0.34667023458079727
284,,,1.103922089538412,-0.06644928613406417,2.738164956381709,-0.4132437136460987,-0.7897400362287643,-1.0383193378886184,1.1656170646090962,-1.038436126209919,-2.028888737140588,3.13319187348757,-1.2588241921495507,-1.1213785802992149,-0.3869349286250248,-2.6125330500452857,-2.4652508065768775,-1.1517834989141422,0.40780934032693833,-0.7382190706884422,-0.46819853694682706,-2.131457904161144,1.302664168153734,-2.150274954580042,-2.6892460948775425,-0.2976507110898026,-2.1265917145099706,-0.13837068581826517,-0.3276918256774779,0.62591326429451,-0.19371942978130813,1.8175217954081495,-0.4479020644212813,0.34744936834079904,-0.7792753775481164,0.15030208776901954,-0.8976387979087783,-0.2554832594537518,-0.670414910051979,0.9697167632316648,-1.6560247904078216,1.5241926063401345,-0.8817358911735234,2.7127140926063813,-0.7965943858575297,1.9252776535373586,1.8997687301902446,2.2921277356039327,2.0563711833526637,3.4283844575860565,0.5607532329113201,0.8065695878338411,0.7247519453692055,0.32508870193900036
286,field,2.0,1.4694277120749184,0.40553319986168224,2.8718079753022256,0.19045961118362428,0.052472438920028425,-0.5599688331552239,1.0541184483670691,-0.6547775206048855,-2.2871897812457074,3.202628915564466,-0.9754352442894019,-1.467934016738011,-0.10573068401869695,-2.562009940055081,-2.4748654515843893,-1.1193284511002342,0.42086041985650235,-0.4876732590682296,-0.32904548287164187,-1.4501734438590301,0.845265842251293,-1.6201697976256109,-2.5278554917129603,-0.05374927027520122,-2.0379338348025815,0.20767921508795512,-0.6188992329399834,0.28455124766807727,-0.989590694215938,1.4733962940783465,-0.3138759723289604,0.1615477243861143,-1.202324463303055,-0.4142213690522752,-1.580332404764,-0.712134788418644,-1.156433822719532,0.35895058739729835,-1.5584283175432208,0.967036787430264,-1.7619658847055337,2.873369171537213,-1.3844614785284977,1.5936543603494957,1.454121199684566,2.0445211405819363,1.8663649248778797,3.568325403760583,1.1822841960215906,1.3839050323382767,1.3687815178015355,1.1054455651435948
306,field,1.0,2.7290479006184456,1.5588407507063116,3.9200840182457903,-0.33213704162392627,-0.04828941618448813,0.8567746904932729,1.6935040566113098,-0.45749030720760053,-1.9286022827539882,4.241626575720066,-0.8733873183838661,-1.5330628144457938,-1.5942486909930607,-2.9298862274615356,-2.5782643513741945,-2.00716460525709,1.0666113378042694,-0.05896769554370966,-1.3224664791836724,-0.5589267337640642,1.3856375925213624,-2.0854727071184183,-3.4597083519181817,0.37183235151210464,-9.136462154186463,0.3818039967185428,-0.7638324139615784,-0.1674293041521614,-1.3944942543657781,0.9299092612511444,0.011896425433838207,0.10392233913809613,-1.0771859308808145,-0.6970143113950786,-1.6945554261348388,-0.3951658719613161,-1.4707087223247644,0.13619552385458109,-0.7936223499150035,0.8012335696794018,-1.3687748769995554,2.5461385725433967,-1.2244052660074578,2.0646934428028945,2.145741113946005,2.612096540335194,2.5800406868448076,3.965994390492489,1.8125181646871134,1.6518873807201597,1.0289664963717868,1.3547287264460355
308,field,1.0,2.0336136149175608,0.14819100783453548,3.8351551955430563,-0.3231524696759739,-0.44658880139424934,-0.3619972233622004,1.4040325864933634,-1.0694975762015306,-2.0679515363990975,3.0849932868032095,-2.0298073772824057,-0.8187850838423342,-0.6398115227987713,-3.2005634832866736,-3.139203296891285,-2.509995047939152,0.7386651717549253,-0.29216372999511375,-1.64044567674082,-1.6025221272655794,0.9481387192824687,-1.8396057978976041,-2.9234224238326845,0.001991504532326588,-2.965569892054968,0.32558059579716064,-0.5556367310986093,0.3886013300392799,-0.3307181858440858,1.6343275459605213,-0.347634933313444,0.7941274106590227,1.8474370650544236,-0.2915215465494037,-1.3273472390095453,-0.34805941757145226,-0.9596659388464943,0.5472510737545757,-1.4974891436567142,1.3268638991149964,-1.2574955910002905,2.186311770434462,-1.3281388703768695,1.6158832088514279,1.6378827057028296,2.438024217008515,2.1936425297439155,3.5354078997015264,0.9150518935726493,0.9575259629305323,1.0158988588339752,0.5601916098060895
310,field,2.0,2.0255444898913906,1.1412880857781778,2.7149537295733897,-0.945402552973345,-0.5362777884476502,0.18370051412422625,1.2000765861715967,-1.2188268380157723,-1.8913055562850714,3.7059428262688128,-1.601658460603233,-1.3668051736161149,-1.2585617395661521,-3.119970973201379,-2.69322846664593,-2.1595090230140865,0.8997726638444024,-0.19987803397773923,-1.5502915529063628,-1.7223166502915495,1.179524701615353,-1.7253111625941038,-2.7463701903952624,0.11087592237272763,-3.3120170798873283,0.49167320863011804,-0.2420721397998632,0.6974163560764948,-0.5133067197266604,2.015566518989795,0.2345911788157325,0.682081144064098,-0.676105689365352,0.02401907503378204,-0.9707752011962819,-0.13443838954492768,-0.7567612583908984,0.7469084370420461,-1.0078046472339073,1.067155322471688,-0.9046905553366223,2.1804007333573856,-1.0581570066048565,1.448457145680847,1.5734340793588784,1.9204666818787743,1.8691807116473895,2.7606183280670247,0.733687958284346,0.9822501930624102,1.1393335332322185,0.5829227242873691
