N	Stage	Well	1-Pentene	2-Methyl-1-butene	Pentane	Pentane, 2-methyl-	Pentane, 3-methyl-	1-Hexene	n-Hexane	Cyclopentane, methyl-	Pentane, 2,4-dimethyl-	Benzene	Cyclohexane	Hexane, 2-methyl-	Hexane, 3-methyl-	Cyclopentane, 1,3-dimethyl-, cis-	Cyclopentane, 1,3-dimethyl-, trans-	Cyclopentane, 1,2-dimethyl-, trans-	1-Heptene	Heptane	Cyclohexane, methyl-	Hexane, 2,5-dimethyl-	Toluene	Heptane, 3-methyl-	Cyclohexane, 1,4-dimethyl-, trans-	1-Octene	Cyclohexane, 1,2-dimethyl-, trans-	Octane	Ethylbenzene	Benzene, 1,3-dimethyl-	p-Xylene	o-Xylene	1-Nonene	Nonane	Benzene, propyl-	Benzene, 1-ethyl-3-methyl-	Benzene, 1-ethyl-4-methyl-	Mesitylene	Benzene, 1-ethyl-2-methyl-	Benzene, 1,2,4-trimethyl-	1-Decene	Decane	Benzene, n-butyl-	Undecane	Benzene, 1,2,4,5-tetramethyl-	Dodecane	Tridecane	Tetradecane	Pentadecane	Hexadecane	Heptadecane	Pentadecane, 2,6,10,14-tetramethyl-	Octadecane	Hexadecane, 2,6,10,14-tetramethyl-
325	2	3_IRG	1.78828	0.38005	4.88914	0.34237	0.24959	0.20786	1.44208	0.09418	0.05444	6.46841	0.0938	0.00001	0.34032	0.03332	0.032	0.0486	0.57262	0.49705	0.16075	0.12757	4.46874	0.12293	0.02648	0.41184	0.01878	0.56584	0.43872	0.93306	0.4315	1.82805	0.18288	0.43835	0.39175	0.27637	0.10561	0.21918	0.11818	0.56935	0.04514	1.43748	0.04728	47.1981	0.07385	1.15239	0.96479	3.14031	2.10871	25.11647	1.01629	0.82926	3.31044	0.8427
226	2	30_BUG	1.9023	0.59904	3.58128	0.09782	0.22849	0.25786	1.24975	0.09411	0.04031	5.64158	0.04525	0.0713	0.04456	0.00938	0.00522	0.01603	0.5215	0.247	0.05594	0.02864	1.07023	0.04467	0.00982	0.57051	0.02186	0.51146	0.23781	0.63472	0.26772	1.54579	0.39548	0.50244	0.10502	0.26013	0.10393	0.1443	0.10426	0.55837	0.09927	0.91033	0.06314	16.72669	0.08118	1.33258	1.25474	2.02806	2.11514	5.50962	0.59872	0.62236	0.35783	0.4517
230	2	30_BUG	1.45431	0.37674	7.62978	0.38723	0.29444	0.36559	3.58094	0.08244	0.09121	5.72248	0.06794	0.13828	0.18619	0.02955	0.02506	0.10296	0.83942	0.14148	0.23023	0.04289	1.09612	0.03617	0.0199	0.69979	0.04278	0.42492	0.16808	0.35163	0.1622	1.15951	0.16126	0.30673	0.41048	0.17108	0.0659	0.10021	0.07383	0.36537	0.04899	0.38225	0.04758	1.47274	0.05977	0.76797	0.82391	1.01919	1.66538	3.28233	0.38511	0.36411	0.18183	0.24634
232	2	30_BUG	1.17581	0.35675	7.30886	0.21949	0.13946	0.21997	1.96804	0.07713	0.02258	4.58964	0.03615	0.05712	0.07895	0.01456	0.01346	0.05739	0.29801	0.39266	0.09968	0.03192	3.24174	0.0241	0.0116	0.33278	0.01686	0.87371	1.05083	3.25165	1.6377	4.91973	0.21113	1.97438	0.36678	1.15873	0.44008	0.26151	0.29782	1.95736	0.07358	2.53084	0.0871	2.44989	0.08169	0.81448	0.68339	0.94445	0.85221	3.36913	0.28273	0.22292	0.23276	0.1715
234	2	30_BUG	1.44561	0.44672	8.04179	0.23798	0.14534	0.19641	1.04023	0.09121	0.03124	5.12141	0.05141	0.05861	0.10331	0.01587	0.01453	0.05719	0.42393	0.14438	0.10941	0.04597	0.73812	0.03169	0.01073	0.20383	0.01473	0.26822	0.15922	0.29541	0.12744	1.14101	0.12908	0.28852	0.16156	0.13292	0.0519	0.08863	0.06232	0.274	0.05931	0.43119	0.04626	1.49534	0.04964	0.6802	0.77467	0.8397	1.51444	2.08469	0.39519	0.44749	0.57764	0.30858
236	2	30_BUG	1.94803	0.42453	5.63454	0.21284	0.1324	0.25602	2.17901	0.06592	0.03036	5.14301	0.0353	0.03886	0.04804	0.01706	0.01315	0.0364	0.40409	0.21447	0.07419	0.03876	1.42246	0.026	0.01044	0.21916	0.01909	0.40947	0.25957	0.73381	0.43729	2.32556	0.30484	0.60973	0.07404	0.28497	0.12994	0.13083	0.10476	0.62471	0.2011	1.45143	0.11754	5.13056	0.07262	1.38853	1.18297	1.02493	1.44478	1.73185	0.37472	0.504	0.19381	0.30892
238	2	30_BUG	2.40251	0.71774	5.61452	0.34407	0.26229	0.34594	1.32959	0.11211	0.05577	7.03777	0.09605	0.13196	0.21488	0.02635	0.02463	0.15657	0.70342	0.33138	0.2506	0.11172	2.00088	0.06761	0.02315	0.38036	0.0374	0.49405	0.35817	0.71921	0.35801	1.94595	0.25866	0.34346	0.09798	0.33498	0.15493	0.26597	0.1352	0.72633	0.13144	0.85255	0.10331	4.86395	0.12512	1.65852	1.48115	3.03721	2.11115	8.64615	0.79967	0.80187	0.36911	0.5624
281	2	30_BUG	1.42245	0.36504	5.09351	0.29812	0.21642	0.20286	1.32778	0.11448	0.03528	6.80719	0.09434	0.08688	0.1233	0.02213	0.02468	0.07598	0.45251	0.19314	0.20579	0.03602	0.91835	0.04064	0.01902	0.19106	0.03602	0.277	0.19612	0.36023	0.1731	1.20396	0.13519	0.25436	0.07263	0.1608	0.05515	0.10176	0.07263	0.29561	0.02973	0.35796	0.0339	1.27243	0.04395	0.60078	0.55046	0.97076	0.65229	4.49175	0.19735	0.24064	0.26594	0.18904
283	2	30_BUG	1.33837	0.24256	4.19862	0.28385	0.17694	0.17136	0.75464	0.09465	0.03629	5.47475	0.04297	0.06521	0.12039	0.01858	0.0158	0.04016	0.38055	0.17203	0.11285	0.06706	0.5532	0.04318	0.01714	0.17121	0.02094	0.27738	0.13933	0.31046	0.12429	1.00524	0.12798	0.38411	0.07603	0.15021	0.056	0.1251	0.07179	0.31578	0.0493	2.8368	0.0441	89.90077	0.05592	0.81024	0.75487	1.02669	0.98056	3.61435	0.39389	0.4742	0.61671	0.36251
285	2	30_BUG	1.94051	0.49083	6.89033	0.28259	0.18824	0.33399	1.60277	0.09239	0.03255	7.46927	0.06968	0.0811	0.11234	0.01364	0.01516	0.07207	0.56705	0.54572	0.13297	0.05538	1.0034	0.23278	0.01478	0.28142	0.0243	0.43719	0.28071	0.6693	0.28339	2.13077	0.20106	0.56655	0.13163	0.26375	0.09725	0.1538	0.12355	0.4985	0.04572	1.13704	0.08467	2.47708	0.06675	0.92492	0.77029	1.24875	1.08451	3.27321	0.33221	0.40656	0.53256	0.2807
